job_title,rating,company_name,size,type_of_ownership,industry,sector,revenue,min_salary,max_salary,avg_salary,city,state,skill_sql,skill_python,skill_excel,skill_power_bi,skill_tableau,skill_r,skill_aws,skill_azure,skill_gcp,skill_spark,skill_snowflake,skill_databricks
Data Scientist,3.1,Healthfirst,1001-5000,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137000,171000,154000.0,New York,NY,0,0,0,0,0,0,1,1,0,0,0,0
Data Scientist,4.2,ManTech,5001-10000,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137000,171000,154000.0,Chantilly,VA,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.8,Analysis Group,1001-5000,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137000,171000,154000.0,Boston,MA,0,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,3.5,INFICON,501-1000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137000,171000,154000.0,Newton,MA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,2.9,Affinity Solutions,51-200,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137000,171000,154000.0,New York,NY,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.2,HG Insights,51-200,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137000,171000,154000.0,Santa Barbara,CA,1,1,0,0,0,0,1,0,0,0,0,0
Machine Learning Engineer,3.9,Novartis,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137000,171000,154000.0,Cambridge,MA,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.5,iRobot,1001-5000,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137000,171000,154000.0,Bedford,MA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.4,Intuit - Data,5001-10000,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137000,171000,154000.0,San Diego,CA,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.6,XSELL Technologies,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137000,171000,154000.0,Chicago,IL,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.5,Novetta,501-1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137000,171000,154000.0,Herndon,VA,0,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,4.7,1904labs,51-200,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137000,171000,154000.0,Saint Louis,MO,1,1,0,0,0,0,0,0,0,1,0,0
Data Scientist,3.7,PNNL,1001-5000,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137000,171000,154000.0,Richland,WA,0,0,0,0,0,0,0,0,0,0,0,0
Other,3.1,Old World Industries,201-500,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),137000,171000,154000.0,Northbrook,IL,1,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,3.4,Mathematica Policy Research,1001-5000,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137000,171000,154000.0,Washington,DC,0,1,0,0,0,0,1,0,1,0,0,1
Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),1-50,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,137000,171000,154000.0,Washington,DC,1,1,0,0,1,0,1,0,0,0,0,0
Data Scientist,4.1,Upside Business Travel,51-200,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,137000,171000,154000.0,Remote,Remote,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.5,Buckman,1001-5000,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137000,171000,154000.0,Memphis,TN,1,1,0,1,0,0,0,1,0,0,0,0
Data Analyst,4.2,"Insight Enterprises, Inc.",5001-10000,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),137000,171000,154000.0,Plano,TX,0,0,1,0,0,0,0,0,0,0,0,0
Other,3.5,Tower Health,5001-10000,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137000,171000,154000.0,West Grove,PA,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.2,Triplebyte,51-200,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137000,171000,154000.0,New York,NY,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,4.3,PulsePoint,51-200,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137000,171000,154000.0,New York,NY,0,1,0,0,0,0,0,0,0,0,0,0
Other,3.5,Exponent,1001-5000,Company - Public,Consulting,Business Services,$100 to $500 million (USD),137000,171000,154000.0,Phoenix,AZ,0,0,0,0,0,0,0,0,0,0,0,0
Other,3.5,Guardian Life,5001-10000,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),137000,171000,154000.0,Appleton,WI,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.4,Spectrum Communications and Consulting,51-200,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137000,171000,154000.0,Chicago,IL,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.7,Oversight Systems,51-200,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137000,171000,154000.0,Atlanta,GA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.2,LSQ,51-200,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137000,171000,154000.0,Orlando,FL,0,1,1,1,1,0,1,0,0,0,0,0
Data Scientist,3.8,MIT Lincoln Laboratory,1001-5000,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,137000,171000,154000.0,Lexington,MA,1,1,0,1,0,0,0,0,0,1,0,0
Data Scientist,4.5,Kingfisher Systems,51-200,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),137000,171000,154000.0,McLean,VA,0,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,2.8,Formation,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137000,171000,154000.0,San Francisco,CA,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.8,Analysis Group,1001-5000,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),75000,131000,103000.0,Boston,MA,0,1,0,0,0,0,1,0,0,0,0,0
Machine Learning Engineer,3.9,Novartis,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75000,131000,103000.0,Cambridge,MA,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,5.0,Cohere Health,1-50,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,75000,131000,103000.0,Boston,MA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.8,Acuity Insurance,1001-5000,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),75000,131000,103000.0,Sheboygan,WI,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,3.6,Chef,201-500,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75000,131000,103000.0,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0
Data Scientist,3.3,Puget Sound Energy,1001-5000,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),75000,131000,103000.0,Bothell,WA,1,0,1,0,0,0,0,0,0,0,0,0
Other,2.7,Sandhills Global,1001-5000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75000,131000,103000.0,Lincoln,NE,1,1,1,1,1,0,0,0,0,0,0,0
Data Scientist,2.7,A Place for Mom,501-1000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,75000,131000,103000.0,Overland Park,KS,1,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,2.2,Great-Circle Technologies,1-50,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),75000,131000,103000.0,Chantilly,VA,1,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,3.4,Edmunds.com,501-1000,Company - Private,Internet,Information Technology,$100 to $500 million (USD),75000,131000,103000.0,Santa Monica,CA,1,1,0,0,1,0,0,0,0,0,0,0
Data Analyst,3.1,"Cambridge Associates, LLC",501-1000,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),75000,131000,103000.0,Boston,MA,1,1,1,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,3.4,Liberty Mutual Insurance,10000+,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),75000,131000,103000.0,Portsmouth,NH,0,1,0,0,0,1,1,1,0,0,0,0
Data Analyst,2.6,Cenlar,1001-5000,Company - Private,Unknown,Unknown,$100 to $500 million (USD),75000,131000,103000.0,Ewing,NJ,1,0,0,0,0,0,0,0,0,0,0,0
Other,5.0,Arsenal Biosciences,51-200,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,75000,131000,103000.0,South San Francisco,CA,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.2,Eversight,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),75000,131000,103000.0,Palo Alto,CA,0,1,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,4.1,Pfizer,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75000,131000,103000.0,Cambridge,MA,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.8,Klaviyo,201-500,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,75000,131000,103000.0,Boston,MA,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.3,Intellectual Ventures,501-1000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,75000,131000,103000.0,Bellevue,WA,0,1,1,0,0,0,0,0,0,0,0,0
Data Scientist,3.7,GovTech,1001-5000,Government,Federal Agencies,Government,Unknown / Non-Applicable,75000,131000,103000.0,San Francisco,CA,0,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,4.3,Quick Base,201-500,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75000,131000,103000.0,Cambridge,MA,1,1,1,1,1,0,0,0,0,0,0,0
Data Analyst,4.8,Giving Assistant,1-50,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),75000,131000,103000.0,San Francisco,CA,1,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,3.7,Takeda,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75000,131000,103000.0,Cambridge,MA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.0,Netskope,501-1000,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75000,131000,103000.0,San Francisco,CA,0,1,0,0,0,0,0,0,0,0,0,0
Data Engineer,4.8,IT Concepts,51-200,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),75000,131000,103000.0,Remote,Remote,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,3.5,iSeatz,51-200,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75000,131000,103000.0,New Orleans,LA,1,0,1,0,0,0,0,0,0,0,0,0
Other,3.7,Summa Health System,5001-10000,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),75000,131000,103000.0,Akron,OH,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,3.5,Benson Hill,201-500,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),75000,131000,103000.0,Saint Louis,MO,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.1,Twitter,1001-5000,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),75000,131000,103000.0,San Francisco,CA,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.2,Postmates - Corporate HQ,1001-5000,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,75000,131000,103000.0,San Francisco,CA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.5,Envision LLC,201-500,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),75000,131000,103000.0,Saint Louis,MO,0,1,0,0,0,0,0,0,0,0,0,0
Data Analyst,3.8,Swiss Re,10000+,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),75000,131000,103000.0,Fort Wayne,IN,1,1,1,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,4.5,Systems & Technology Research,201-500,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),75000,131000,103000.0,Woburn,MA,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.5,iRobot,1001-5000,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),79000,131000,105000.0,Bedford,MA,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,4.2,HG Insights,51-200,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79000,131000,105000.0,Santa Barbara,CA,1,1,0,0,0,0,1,0,0,0,0,0
Data Analyst,3.8,Dermalogica,201-500,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),79000,131000,105000.0,Carson,CA,1,0,1,1,1,0,0,0,0,0,0,0
Data Engineer,3.7,Bayview Asset Management,1001-5000,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),79000,131000,105000.0,Coral Gables,FL,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,3.7,Via Transportation,501-1000,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79000,131000,105000.0,New York,NY,1,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,4.0,Grid Dynamics,1001-5000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),79000,131000,105000.0,Santa Clara,CA,1,1,0,0,1,0,0,0,0,0,0,0
Machine Learning Engineer,3.3,Tempus Labs,501-1000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000,105000.0,Chicago,IL,1,1,0,0,0,0,1,0,0,0,0,0
Machine Learning Engineer,2.5,CareDx,1-50,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000,105000.0,Brisbane,CA,0,1,0,0,0,0,0,0,0,1,0,0
Data Engineer,4.2,IZEA,51-200,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),79000,131000,105000.0,Winter Park,FL,0,1,0,0,0,0,1,0,0,1,0,0
Machine Learning Engineer,3.3,Tempus Labs,501-1000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,131000,105000.0,Redwood City,CA,1,1,0,0,0,0,1,0,0,0,0,0
Data Scientist,4.0,Autodesk,5001-10000,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),79000,131000,105000.0,San Francisco,CA,0,1,0,0,0,0,1,1,1,0,0,0
Data Analyst,3.7,Caterpillar,10000+,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),79000,131000,105000.0,Peoria,IL,1,0,1,0,1,0,0,0,0,0,0,0
